id:ID(LINK),type,e_type,ts,from:START_ID,to:END_ID,from_type,to_type
a6yq49436789fe11f111ebabda0242ac110010,包含,0,0,4329551211f111ebabda0242ac110010,Q1274521,document,entity
pez8te0b29a8cc239111eb94400242ac110010,包含,0,0,a09dfc122239111eb94400242ac110010,Q7849545,document,entity
3rkdix0b313128239111eb94400242ac110010,包含,0,0,0a126758239111eb94400242ac110010,Q3545663,document,entity
sy2tfl0b3715ca239111eb94400242ac110010,包含,0,0,0a3a9c0a239111eb94400242ac110010,Q1089055,document,entity
r8y6wm0b279dfc239111eb94400242ac110010,包含,0,0,a09d3d9fc239111eb94400242ac110010,Q188a096,document,entity
jekpg70b294936239111eb94400242ac110010,包含,0,0,a09dd9d02239111eb94400242ac110010,Q188a096,document,entity
kp0o3a4343541211f111ebabda0242ac110010,包含,0,0,4242e3de11f111ebabda0242ac110010,Q1884475,document,entity
vea1ye4359c47c11f111ebabda0242ac110010,包含,0,0,42ce73cc11f111ebabda0242ac110010,Q7307107,document,entity
d2hab1435a3f1a11f111ebabda0242ac110010,包含,0,0,42d2504611f111ebabda0242ac110010,Q7307107,document,entity
ninvbg0b30c15c239111eb94400242ac110010,包含,0,0,0a0f1968239111eb94400242ac110010,Q7307107,document,entity
udlgn14348bbc811f111ebabda0242ac110010,包含,0,0,4263159611f111ebabda0242ac110010,Q73073,document,entity
i1fphe4342a72411f111ebabda0242ac110010,包含,0,0,423e8a8211f111ebabda0242ac110010,Q1006911,document,entity
tsyo5a434316d211f111ebabda0242ac110010,包含,0,0,424162f211f111ebabda0242ac110010,Q1006911,document,entity
krmnsp0b2fe908239111eb94400242ac110010,包含,0,0,0aa096a68239111eb94400242ac110010,Q1006911,document,entity
oixjg70b41786c239111eb94400242ac110010,包含,0,0,0a7f7fc8239111eb94400242ac110010,Q1006911,document,entity
nay42t0b3dd1b2239111eb94400242ac110010,包含,0,0,0a652f56239111eb94400242ac110010,Q5060479,document,entity
ewyocs0b164d04239111eb94400242ac110010,包含,0,0,a0960fe14239111eb94400242ac110010,Q319114,document,entity
u9fhvy4368844411f111ebabda0242ac110010,包含,0,0,432f3d1011f111ebabda0242ac110010,Q326804,document,entity
4gbpqk0b1e477a239111eb94400242ac110010,包含,0,0,a09953dbe239111eb94400242ac110010,Q3273611,document,entity
takzb40b261b12239111eb94400242ac110010,包含,0,0,a09ca71a0239111eb94400242ac110010,Q3273611,document,entity
