id:ID(EVENT),event_type,type,event_subtype,publish_time,Entity_type
a096a094d8239111eb94400242ac110010,contact,event,meet,1602345600,event
a0962da2c239111eb94400242ac110010,movement,event,transport,1602345600,event
a0962df54239111eb94400242ac110010,movement,event,transport,1602345600,event
a0963b0dc239111eb94400242ac110010,movement,event,transport,1602345600,event
a0964553c239111eb94400242ac110010,movement,event,transport,1602345600,event
a0965e03c239111eb94400242ac110010,life,event,die,1602345600,event
a0965e424239111eb94400242ac110010,life,event,marry,1602345600,event
a09693368239111eb94400242ac110010,movement,event,transport,1602345600,event
a096ada42239111eb94400242ac110010,personell,event,start_position,1602345600,event
a096ae92e239111eb94400242ac110010,personell,event,start_position,1602345600,event
a096b7556239111eb94400242ac110010,contact,event,meet,1602345600,event
a096ca84a239111eb94400242ac110010,movement,event,transport,1602345600,event
a096cac5a239111eb94400242ac110010,contact,event,meet,1602345600,event
a096caeee239111eb94400242ac110010,contact,event,phone_write,1602345600,event
a096cb11e239111eb94400242ac110010,movement,event,transport,1602345600,event
a096cb2b8239111eb94400242ac110010,justice,event,sue,1602345600,event
a096cb47a239111eb94400242ac110010,justice,event,appeal,1602345600,event
a096da7e0239111eb94400242ac110010,movement,event,transport,1602345600,event
a09702a56239111eb94400242ac110010,life,event,die,1602345600,event
a09702e70239111eb94400242ac110010,movement,event,transport,1602345600,event
a0970308c239111eb94400242ac110010,justice,event,sue,1602345600,event
a097032e4239111eb94400242ac110010,justice,event,sue,1602345600,event
a0970356e239111eb94400242ac110010,justice,event,sue,1602345600,event
a097037d0239111eb94400242ac110010,justice,event,sue,1602345600,event
a097039f6239111eb94400242ac110010,transaction,event,transfer_money,1602345600,event
a0970d118239111eb94400242ac110010,life,event,die,1602345600,event
a0970d55a239111eb94400242ac110010,life,event,die,1602345600,event
a09723b84239111eb94400242ac110010,conflict,event,attack,1602345600,event
a09723f58239111eb94400242ac110010,conflict,event,attack,1602345600,event
a0972fb78239111eb94400242ac110010,justice,event,trial_hearing,1602345600,event
a0972ff9c239111eb94400242ac110010,justice,event,trial_hearing,1602345600,event
a097301cc239111eb94400242ac110010,movement,event,transport,1602345600,event
a097303ac239111eb94400242ac110010,conflict,event,attack,1602345600,event
a09730582239111eb94400242ac110010,justice,event,sentence,1602345600,event
a09730726239111eb94400242ac110010,justice,event,trial_hearing,1602345600,event
a097308de239111eb94400242ac110010,conflict,event,attack,1602345600,event
a09730a8c239111eb94400242ac110010,conflict,event,attack,1602345600,event
a09730c08239111eb94400242ac110010,justice,event,charge_indict,1602345600,event
a0973ff1e239111eb94400242ac110010,life,event,die,1602345600,event
a0979e80c239111eb94400242ac110010,movement,event,transport,1602345600,event
a0979ebea239111eb94400242ac110010,movement,event,transport,1602345600,event
a0979eee2239111eb94400242ac110010,movement,event,transport,1602345600,event
a0979f112239111eb94400242ac110010,conflict,event,attack,1602345600,event
a0979f32e239111eb94400242ac110010,movement,event,transport,1602345600,event
a0979f536239111eb94400242ac110010,conflict,event,attack,1602345600,event
a0980279e239111eb94400242ac110010,transaction,event,transfer_ownership,1602345600,event
a0980fa3e239111eb94400242ac110010,life,event,injure,1602345600,event
a09831e7c239111eb94400242ac110010,life,event,marry,1602345600,event
a09832250239111eb94400242ac110010,justice,event,arrest_jail,1602345600,event
a09848c62239111eb94400242ac110010,movement,event,transport,1602345600,event
a0984d46a239111eb94400242ac110010,life,event,die,1602345600,event
a098c8ec6239111eb94400242ac110010,contact,event,meet,1602345600,event
a098c918c239111eb94400242ac110010,contact,event,meet,1602345600,event
a098c9862239111eb94400242ac110010,contact,event,meet,1602345600,event
a098c9b1e239111eb94400242ac110010,movement,event,transport,1602345600,event
a098c9cea239111eb94400242ac110010,movement,event,transport,1602345600,event
a098c9f10239111eb94400242ac110010,personell,event,start_position,1602345600,event
a098caa096239111eb94400242ac110010,justice,event,sentence,1602345600,event
a098ca280239111eb94400242ac110010,contact,event,meet,1602345600,event
a098ca3fc239111eb94400242ac110010,conflict,event,demonstrate,1602345600,event
a098ca550239111eb94400242ac110010,personell,event,end_position,1602345600,event
a098ca7ee239111eb94400242ac110010,justice,event,arrest_jail,1602345600,event
a098ca9ec239111eb94400242ac110010,contact,event,meet,1602345600,event
a098cac80239111eb94400242ac110010,movement,event,transport,1602345600,event
a098caf00239111eb94400242ac110010,life,event,marry,1602345600,event
a098cb0f4239111eb94400242ac110010,movement,event,transport,1602345600,event
a098cb266239111eb94400242ac110010,movement,event,transport,1602345600,event
a098cb3b0239111eb94400242ac110010,conflict,event,attack,1602345600,event
a099006f0239111eb94400242ac110010,movement,event,transport,1602345600,event
a09900b00239111eb94400242ac110010,movement,event,transport,1602345600,event
a09900d9e239111eb94400242ac110010,movement,event,transport,1602345600,event
a0990a3ee239111eb94400242ac110010,justice,event,arrest_jail,1602345600,event
a0990a7d6239111eb94400242ac110010,conflict,event,attack,1602345600,event
a0990aa4c239111eb94400242ac110010,justice,event,arrest_jail,1602345600,event
a0990acf4239111eb94400242ac110010,life,event,marry,1602345600,event
a0990af60239111eb94400242ac110010,life,event,marry,1602345600,event
a0990b9a6239111eb94400242ac110010,life,event,marry,1602345600,event
a0991c7d8239111eb94400242ac110010,movement,event,transport,1602345600,event
a0991cbf2239111eb94400242ac110010,movement,event,transport,1602345600,event
a099532e2239111eb94400242ac110010,business,event,start_org,1602345600,event
a0997be04239111eb94400242ac110010,justice,event,arrest_jail,1602345600,event
a0997c3d6239111eb94400242ac110010,justice,event,charge_indict,1602345600,event
a0997c962239111eb94400242ac110010,movement,event,transport,1602345600,event
a0997ccf0239111eb94400242ac110010,justice,event,arrest_jail,1602345600,event
a0997cf66239111eb94400242ac110010,justice,event,charge_indict,1602345600,event
a0997d0ce239111eb94400242ac110010,movement,event,transport,1602345600,event
a0997d330239111eb94400242ac110010,movement,event,transport,1602345600,event
a0997d470239111eb94400242ac110010,justice,event,arrest_jail,1602345600,event
a099ab028239111eb94400242ac110010,movement,event,transport,1602345600,event
a099ab4f6239111eb94400242ac110010,movement,event,transport,1602345600,event
a099c784a239111eb94400242ac110010,movement,event,transport,1602345600,event
a099c7bec239111eb94400242ac110010,justice,event,arrest_jail,1602345600,event
a099c7e12239111eb94400242ac110010,movement,event,transport,1602345600,event
a099c8060239111eb94400242ac110010,justice,event,arrest_jail,1602345600,event
a099c8696239111eb94400242ac110010,movement,event,transport,1602345600,event
a099c8970239111eb94400242ac110010,justice,event,arrest_jail,1602345600,event
a099c8cc2239111eb94400242ac110010,justice,event,arrest_jail,1602345600,event
a099c8fce239111eb94400242ac110010,justice,event,arrest_jail,1602345600,event
a099c917c239111eb94400242ac110010,justice,event,sue,1602345600,event
a099c93e8239111eb94400242ac110010,justice,event,arrest_jail,1602345600,event
a099d2010239111eb94400242ac110010,personell,event,end_position,1602345600,event
a099d239e239111eb94400242ac110010,life,event,marry,1602345600,event
a099d2646239111eb94400242ac110010,movement,event,transport,1602345600,event
a099d2880239111eb94400242ac110010,movement,event,transport,1602345600,event
a099d2b1e239111eb94400242ac110010,movement,event,transport,1602345600,event
a09a05e42239111eb94400242ac110010,transaction,event,transfer_ownership,1602345600,event
